             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           3380548       fat SPDCfull  qu76pik  R 2-05:48:47      1 fat02
           3413202       fat tsne_job  ge89duh  R 1-04:08:30      1 fat01
           3415469       fat 3D_Step1  re86jar  R   10:31:45      1 fat02
           3420699       fat run_exci  pu63giq  R    5:48:30      1 fat02
           3420705       fat run_exci  pu63giq  R    5:43:31      1 fat01
           3420706       fat run_exci  pu63giq  R    5:42:31      1 fat01
           3413141       gpu RNAtrain  ve74paf PD       0:00      1 (Resources)
           3420508       gpu convert_  je54jun PD       0:00      3 (Priority)
           3370491       gpu   TRPML1  lo85vig  R 2-00:55:28      1 gpu016
           3370492       gpu   TRPML1  lo85vig  R 1-22:27:29      1 gpu014
           3370493       gpu   TRPML1  lo85vig  R 1-22:27:29      1 gpu013
           3370494       gpu   TRPML1  lo85vig  R 1-22:27:29      1 gpu017
           3380100       gpu unet_tra  xi47luy  R 2-19:02:09      1 gpu005
           3380714       gpu RNAtrain  ve74paf  R 1-19:51:49      1 gpu006
           3382528       gpu      jup  ti47roc  R 1-18:41:08      1 gpu015
           3414007       gpu       hr  fe47mav  R   23:23:36      1 gpu013
           3414008       gpu    cnnve  fe47mav  R   23:23:36      1 gpu014
           3416502       gpu      gan  fe47mav  R    8:24:24      1 gpu013
           3416504       gpu       lr  fe47mav  R    8:19:54      1 gpu007
           3416508       gpu StyleGAN  mo35hul  R    8:06:53      1 gpu016
           2934511  gpu-test mokitul_  zi67lot  R 58-07:25:28      1 gpu010
           3428485  gpu-test gpu-test  fo38lok  R    2:35:30      1 gpu011
           3428782  gpu-test interact  ve83rur  R    1:41:30      1 gpu012
           3361761      long 96nr0evo  ze34joz PD       0:00      1 (Dependency)
           3380230      long 128nr0ev  ze34joz PD       0:00      1 (Dependency)
           3380231      long 96nr2evo  ze34joz PD       0:00      1 (Dependency)
           3413186      long 128nr2ev  ze34joz PD       0:00      1 (Dependency)
           3413214      long HDG_IMEX  le25wov PD       0:00      1 (ReqNodeNotAvail, May be reserved for other job)
           3413218      long HDG_IMEX  le25wov PD       0:00      1 (ReqNodeNotAvail, May be reserved for other job)
           3431772      long Nozzle_3  so68fap PD       0:00      4 (Resources)
           3432018      long new_T08_  ki65par PD       0:00      1 (Priority)
           3312432      long 96nr2evo  ze34joz  R 7-01:44:19      1 node079
           3312436      long 96nr0evo  ze34joz  R 7-12:35:14      1 node027
           3355207      long woelflin  ce65pen  R 9-20:10:49      1 node026
           3356607      long 128nr0ev  ze34joz  R 3-04:18:54      1 node073
           3359793      long      job  lu29vow  R 8-06:08:46      1 node075
           3361762      long 128nr2ev  ze34joz  R 1-19:53:05      1 node030
           3361859      long all_salt  no58rok  R 7-05:37:43      1 node021
           3361996      long interact  ce65pen  R 7-01:44:41      6 node[023-024,029,031,076,078]
           3363760      long      job  lu29vow  R 6-09:51:27      1 node080
           3370422      long snb_calc  ri65fin  R 5-02:18:39      1 node025
           3370423      long snb_calc  ri65fin  R 5-01:24:39      1 node077
           3370424      long snb_calc  ri65fin  R 5-01:00:39      1 node021
           3370425      long snb_calc  ri65fin  R 4-17:28:38      1 node074
           3379741      long      job  lu29vow  R 3-03:48:44      1 node022
           3425738      long  SPDCsym  qu76pik  R    3:14:30      1 node028
           3428808      long smk-GROU  qi47rin  R      33:29      1 node025
           3428809      long smk-GROU  qi47rin  R      33:29      1 node074
           3428810      long smk-GROU  qi47rin  R      31:30      1 node077
           3428811      long smk-GROU  qi47rin  R      18:30      1 node032
           3428812      long smk-GROU  qi47rin  R      18:30      1 node032
           3428813      long smk-GROU  qi47rin  R      18:30      1 node032
           3428814      long smk-GROU  qi47rin  R      18:30      1 node032
            930626     short create_m  be65roh PD       0:00      1 (PartitionTimeLimit)
           1978441     short ml_train  mu58yes PD       0:00      1 (PartitionTimeLimit)
           1980668     short ml_train  mu58yes PD       0:00      1 (PartitionTimeLimit)
           3432014     short dask-wor  fu34jed  R      33:29      1 node009
           3432016     short interact  ke74dex  R      24:30      1 node009
           3296479  standard       VC  vu73weg PD       0:00      1 (PartitionTimeLimit)
           3313913  standard  smetana  cu24xum PD       0:00      1 (PartitionTimeLimit)
3377403_[427-500%4  standard fmriprep  we46dav PD       0:00      1 (JobArrayTaskLimit)
           3383076  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3383077  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3383078  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3383079  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3383080  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3383081  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3383082  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3383098  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3383099  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3390162  standard sbatch_i  da86vew PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423421  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423422  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423423  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423424  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423425  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423426  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423427  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423428  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423429  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
           3423430  standard gen_cc.J  si74noc PD       0:00      1 (QOSMaxNodePerUserLimit)
