i.id;oa.id;i.name;oa.name;i.geo;oa.geo;dist (m);matching_name
21200;https://openalex.org/I2800971497;Klassik Stiftung Weimar;Klassik Stiftung Weimar;50.98065955, 11.332800182617179;50.9803, 11.32903;267.0;True
21206;https://openalex.org/I4210108236;INSTITUTO TECNOLOGICO DEL EMBALAJE, TRANSPORTE Y LOGISTICA;Instituto Tecnologico Del Embalaje, Transporte Y Logistica;39.5039227, -0.4421013;39.50263, -0.44079;183.0;True
21216;https://openalex.org/I4210144293;LEBENSMITTELVERSUCHSANSTALT;Austrian Competence Centre of Food Safety;48.1990666, 16.3779018;48.20849, 16.37208;1133.0;True
21228;https://openalex.org/I4210140005;Black Cultural Archives;Black Cultural Archives;51.5073219, -0.1276474;51.50853, -0.12574;188.0;True
21234;https://openalex.org/I1334283787;Swedish National Heritage Board;Swedish National Heritage Board;59.3251172, 18.0710935;59.32938, 18.06871;493.0;True
21247;https://openalex.org/I4210086039;Huygen Installatie Adviseurs;Huygen Installatie Adviseurs;50.8415119, 5.6965291;50.84833, 5.68889;929.0;True
21253;https://openalex.org/I60158472;CONCORDIA UNIVERSITY;Concordia University;45.4721177, -73.6069064;45.50884, -73.58781;4346.0;True
21257;https://openalex.org/I69094615;UNIVERSIDAD SAN FRANCISCO DE QUITO;Universidad San Francisco de Quito;-0.2201641, -78.5123274;-0.22985, -78.52495;1769.0;True
21260;https://openalex.org/I4210113234;TTS Italia;TTS Italia;42.0056739, 12.4922106;41.89193, 12.51133;12746.0;True
21281;https://openalex.org/I4210091679;European Conference of Transport Research Institutes;European Conference of Transport Research Institutes;50.8370204, 4.3704946;50.85045, 4.34878;2134.0;True
21290;https://openalex.org/I1324611689;CENTER FOR THE STUDY OF DEMOCRACY;Center for the Study of Democracy;42.6978634, 23.3221789;42.69751, 23.32415;166.0;True
21301;https://openalex.org/I4210165875;NTNU SAMFUNNSFORSKNING AS;NTNU Samfunnsforskning;63.4083938, 10.4647886;63.43049, 10.39506;4251.0;True
21309;https://openalex.org/I4210100923;MUNSTER TECHNOLOGICAL UNIVERSITY;Munster Technological University;51.8839904, -8.53398985310417;51.89797, -8.47061;4619.0;True
21311;https://openalex.org/I4210117450;AZIENDA OSPEDALIERA UNIVERSITARIA FEDERICO II;Federico II University Hospital;40.8359336, 14.2487826;40.85216, 14.26811;2429.0;True
21317;https://openalex.org/I4210148138;SERVICIO MURCIANO DE SALUD;Servicio Murciano de Salud;38.0064837, -1.1474109;37.98704, -1.13004;2644.0;True
21320;https://openalex.org/I2802200126;OCEAN NETWORKS CANADA;Ocean Networks Canada Society;43.074410666666665, -79.38892734583334;48.4359, -123.35155;3413999.0;False
21323;https://openalex.org/I136324864;Polar Research Institute of China;Polar Research Institute of China;;31.22222, 121.45806;;True
21324;https://openalex.org/I141472210;University of Alaska;University of Alaska Fairbanks;;64.83778, -147.71638;;False
21381;https://openalex.org/I4210103951;AVON WILDLIFE TRUST;Avon Wildlife Trust;51.45297995, -2.609425710158588;51.45523, -2.59665;920.0;True
21384;https://openalex.org/I2799496958;GLASGOW CITY COUNCIL;Glasgow City Council;55.856656, -4.2435816;55.86515, -4.25763;1289.0;True
21429;https://openalex.org/I70983195;SYRACUSE UNIVERSITY;Syracuse University;43.0810141, -76.1565252;43.04812, -76.14742;3732.0;True
21439;https://openalex.org/I4210114638;MAX WEBER STIFTUNG DEUTSCHE GEISTESWISSENSCHAFTLICHE INSTITUTE IM AUSLAND;Max Weber Stiftung - Deutsche Geisteswissenschaftliche Institute im Ausland;50.6861956, 7.16030945;50.73438, 7.09549;7038.0;False
21448;https://openalex.org/I4210121785;MANNKIND CORPORATION;MannKind Corporation (United States);;34.44361, -118.60953;;False
21453;https://openalex.org/I102149020;UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE;University of North Carolina at Charlotte;35.312224, -80.7084736;35.22709, -80.84313;15461.0;True
21454;https://openalex.org/I106645853;Changchun University of Science and Technology;Changchun University of Science and Technology;;43.88, 125.32278;;True
21455;https://openalex.org/I90610280;SOUTH CHINA UNIVERSITY OF TECHNOLOGY;South China University of Technology;;23.11667, 113.25;;True
21456;https://openalex.org/I204983213;HARBIN INSTITUTE OF TECHNOLOGY;Harbin Institute of Technology;;45.75, 126.65;;True
21458;https://openalex.org/I162868743;Tianjin University;Tianjin University;;39.14222, 117.17667;;True
21459;https://openalex.org/I147554453;UNIVERSITY OF BEDFORDSHIRE;University of Bedfordshire;51.89107295, -0.423030307620178;51.87967, -0.41748;1324.0;True
21471;https://openalex.org/I84027002;LEEDS BECKETT UNIVERSITY;Leeds Beckett University;53.7974185, -1.543794;53.79648, -1.54785;286.0;True
21498;https://openalex.org/I4210131650;KOREA ELECTRONICS TECHNOLOGY INSTITUTE;Korea Electronics Technology Institute;;37.43861, 127.13778;;True
21515;https://openalex.org/I4210126288;DIGITAL CATAPULT;Digital Catapult;51.5073219, -0.1276474;51.50853, -0.12574;188.0;True
21520;https://openalex.org/I78715868;University of Arkansas;University of Arkansas at Fayetteville;35.0525759, -78.878292;36.06258, -94.15743;1385283.0;False
21521;https://openalex.org/I4210111819;THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;Research Foundation for the State University of New York;42.6497699210526, -73.7523546052632;42.65258, -73.75623;445.0;False
21523;https://openalex.org/I169615421;MIDDLE TENNESSEE STATE UNIVERSITY;Middle Tennessee State University;36.442042, -77.084853;35.84562, -86.39027;837872.0;True
21525;https://openalex.org/I12176630;UNIVERSITAS TANJUNGPURA;Tanjungpura University;;-0.03194, 109.325;;True
21528;https://openalex.org/I163902620;MOUNT ALLISON UNIVERSITY;Mount Allison University;45.8985128, -64.371401;45.89868, -64.36836;236.0;True
21537;https://openalex.org/I4210109975;PROVINCIA AUTONOMA DI TRENTO;Provincia Autonoma di Trento;46.0721923, 11.1212361;46.06787, 11.12108;481.0;True
21539;https://openalex.org/I63135867;University of Cincinnati;University of Cincinnati;39.1006666, -84.51948;39.12711, -84.51439;2973.0;True
21542;https://openalex.org/I4210124339;PALAIS DES BEAUX ARTS;Centre for Fine Arts;50.84373495, 4.35977919630637;50.85045, 4.34878;1074.0;False
21543;https://openalex.org/I4210130525;SIDRA MEDICAL AND RESEARCH CENTER;Sidra Medical and Research Center;25.3014957, 51.49966739882234;25.28545, 51.53096;3617.0;True
21545;https://openalex.org/I193670377;UNIVERSITY OF KARACHI;University of Karachi;24.9415205, 67.0458485;24.8608, 67.0104;9662.0;True
21552;https://openalex.org/I2800423888;INSTITUTO BUTANTAN;Instituto Butantan;-23.5710711, -46.70931;-23.5475, -46.63611;7908.0;True
21553;https://openalex.org/I1309827724;INTERNATIONAL VACCINE INSTITUTE;International Vaccine Institute;;37.566, 126.9784;;True
21554;https://openalex.org/I1311191458;LA JOLLA INSTITUTE FOR ALLERGY AND IMMUNOLOGY;La Jolla Institute for Immunology;;32.71571, -117.16472;;True
21560;https://openalex.org/I4210118101;ALDEBARAN;SoftBank Robotics (France);48.8285551, 2.2740041;48.85341, 2.3488;6132.0;False
21563;https://openalex.org/I158012942;UNIVERSITY OF RICHMOND;University of Richmond;37.57586225, -77.5412993715841;37.55376, -77.46026;7554.0;True
21569;https://openalex.org/I87445476;XI'AN JIAOTONG UNIVERSITY;Xi'an Jiaotong University;;34.25833, 108.92861;;True
21575;https://openalex.org/I159948400;JINAN UNIVERSITY;Jinan University;;23.11667, 113.25;;True
21580;https://openalex.org/I69072986;UNIVERSITY OF MAURITIUS;University of Mauritius;-20.232698149999997, 57.496781;-20.21904, 57.51083;2111.0;True
21581;https://openalex.org/I82889322;CATHOLIC UNIVERSITY OF EASTERN AFRICA;Catholic University of Eastern Africa;-1.3016977, 36.769366486554645;-1.28333, 36.81667;5641.0;True
21583;https://openalex.org/I29920723;UNIVERSITATEA DE STAT DIN MOLDOVA;Moldova State University;46.9832137, 28.9397964;47.00556, 28.8575;6718.0;True
21587;https://openalex.org/I12153360;SHOTA RUSTAVELI STATE UNIVERSITY;Batumi Shota Rustaveli State University;41.6509502, 41.6360085;41.64228, 41.63392;980.0;False
21595;https://openalex.org/I4210139460;INNOVIRIS;Innoviris;50.82787664999999, 4.355637753670975;50.85045, 4.34878;2556.0;True
21600;https://openalex.org/I4210155724;CENTRE HOSPITALIER UNIVERSITAIRE DE RENNES;Centre Hospitalier Universitaire de Rennes;48.1113387, -1.6800197;48.11198, -1.67429;431.0;True
21607;https://openalex.org/I177877127;THE UNIVERSITY OF WESTERN AUSTRALIA;The University of Western Australia;;-31.95224, 115.8614;;True
21608;https://openalex.org/I4210166758;BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST;Bradford Teaching Hospitals NHS Foundation Trust;53.8062484, -1.7872088;53.79391, -1.75206;2685.0;True
21616;https://openalex.org/I1337769664;UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES;Office of the United Nations High Commissioner for Refugees;46.2207835, 6.1408966;46.20222, 6.14569;2097.0;True
21654;https://openalex.org/I2656126;UNIVERSIDAD DE LA HABANA;University of Havana;22.8888959, -82.5962371;23.13302, -82.38304;34828.0;True
21655;https://openalex.org/I35953669;Universidad Nacional de General Sarmiento;National University of General Sarmiento;-34.5221383, -58.70003498121548;-34.61315, -58.37723;31242.0;True
21658;https://openalex.org/I41156924;Victoria University;Victoria University of Wellington;;-41.28664, 174.77557;;False
21660;https://openalex.org/I1294297726;Exploratorium;Exploratorium;;37.77493, -122.41942;;True
21664;https://openalex.org/I1299209451;CARDIFF AND VALE UNIVERSITY HEALTH BOARD;Cardiff and Vale University Health Board;51.4816546, -3.1791934;51.48, -3.18;192.0;True
21665;https://openalex.org/I2800132241;HELSE STAVANGER HF;Stavanger University Hospital;58.9522491, 5.7324792;58.97005, 5.73332;1980.0;True
21675;https://openalex.org/I111277659;CHONNAM NATIONAL UNIVERSITY;Chonnam National University;;35.15472, 126.91556;;True
21681;https://openalex.org/I31419693;KYUNGPOOK NATIONAL UNIVERSITY;Kyungpook National University;;35.87028, 128.59111;;True
21688;https://openalex.org/I189210763;YUNNAN UNIVERSITY;Yunnan University;;25.03889, 102.71833;;True
21721;https://openalex.org/I47367911;UNITED KINGDOM ATOMIC ENERGY AUTHORITY;United Kingdom Atomic Energy Authority;51.6714842, -1.2779714;51.67109, -1.28278;334.0;True
21734;https://openalex.org/I4405252537;CENTRAL EUROPEAN RESEARCH INFRASTRUCTURE CONSORTIUM EUROPEAN RESEARCH INFRASTRUCTURE CONSORTIUM;Central European Research Infrastructure Consortium;45.6500335, 13.7706559;45.64953, 13.77678;479.0;False
21738;https://openalex.org/I4210106796;POLISH UNIVERSITY ABROAD;Polish University Abroad;51.4935253, -0.23743670925372462;51.50853, -0.12574;7909.0;True
21739;https://openalex.org/I4210108222;AKADEMIA SZTUKI W SZCZECINIE;Szczecin Academy of Arts;53.42614575, 14.554144798931109;53.42894, 14.55302;320.0;True
21747;https://openalex.org/I4210112951;PERSEE;Centre Procédés, Energies Renouvelables et Systèmes Energétiques;46.58356, 5.69471;43.58127, 7.12487;352200.0;False
21748;https://openalex.org/I4210133607;ELEMENT ENERGY;Element Energy (United Kingdom);50.6378675, 3.0697767;52.2, 0.11667;268488.0;False
21751;https://openalex.org/I4210117881;CHINA ACADEMY OF URBAN PLANNING AND DESIGN;China Academy of Urban Planning and Design;;24.47979, 118.08187;;True
